0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.0,0.03154698894200163,-0.003226441984990182,0.25131193082923964,-0.41710234938806956,0.9424777308241475,-0.9488801702005819,1.1265225720470677,-0.4552297847516566,-0.15768446859474378,1.080705687355266,-0.7960603859342007,0.5824639498209269,-0.06417239645623803,-0.01918726636877903,0.0787552883785387,-0.28518676154717965,0.780837856489629,-1.6032388941572668,2.276007510554261,-2.3390831582440206,1.560973902421091,-0.49053438352875317,-0.3555801527617315,0.30726471708524283,-0.24599551349435736,0.01549725657527272,-0.7679980993,71.9995575,-1.161599874,0.004092395626696915,0.004092395626696915
1.0,0.03928972981846134,-0.05531194798121267,0.46555812298479676,-0.9955086680429921,2.046677821012493,-2.416040285933591,2.511912312315683,-1.3691629139793393,0.23918396002935433,0.9682179244991804,-0.7701268068290373,0.559282691992751,-0.04200144595316539,-0.03921607195852952,0.0804707342562319,-0.3036891294485855,0.8032825388521436,-1.7517266548350447,2.717918849321495,-3.0999026737099373,2.38865954392679,-1.1110101594707926,-0.07463124866522866,0.238919124020846,-0.2390785975843984,-0.026035014845327553,1.819488287,70.87612152,-0.954336524,0.0022532249722484817,0.0022532249722484817
1.5,0.012993273944392987,0.07893135536135773,0.11685863580185855,-0.3872575989451075,1.4572167623565409,-2.230480030389646,2.948305300434673,-2.289873449480593,1.2661227968645055,0.17012170786472341,-0.3390884430737011,0.37897188180313035,0.00841177774410746,-0.0368871479502077,0.03150220785248757,-0.18248911581138327,0.49757735176362317,-1.2963810059114276,2.4251369604692186,-3.3691081648921517,3.2498369642837877,-2.147810546736539,0.6380570014587064,-0.043626278514701494,-0.15292099681744603,-0.058387871069024926,5.04039526,70.31441498,-0.7572335005,-0.00013738449138673637,-0.00013738449138673637
2.0,0.020718469739561114,0.06536127478782092,0.19804836471076762,-0.6162933346787387,2.1897014629106466,-3.8007009641631826,5.334883527701227,-4.994225581929336,3.595995845074506,-1.3660172670881774,0.38856398101980816,0.12040233383273023,0.06495082524670055,-0.04157102232973183,0.014141882981157903,-0.1824766586289304,0.469414596108861,-1.1488383427588493,2.2287600799334673,-3.435622422687834,3.8356962149962746,-3.085668558040749,1.4602395592394628,-0.44405708599414767,-0.0076820369630177295,-0.09788093023981123,8.96631622,69.75269318,-0.52864778,-0.003372763935822504,-0.003372763935822504
3.0,-0.0017398876439158823,0.27235444613139986,-0.4641094950593695,1.3120127658400298,-1.7239922863655615,1.9888037742903613,-1.099787897897698,0.30481845287132897,0.43474468438656444,-0.16728579727018106,0.14565470772659686,0.06457689225998409,0.10247741343704837,-0.04652175488109214,0.05959873829192525,-0.44026259003611934,1.7059858510787542,-3.7654530449582437,5.928287373998014,-7.204024114755928,6.871645586184234,-5.209329181575061,2.956145534121905,-1.285586582431386,0.37707705067413294,-0.17458672543000645,16.39479446,68.6292572,-0.01365488023,-0.012538474773446096,-0.012538474773446096
3.8,0.022594529415581054,0.061616032149578656,0.18572501791128634,-0.3798074387125811,0.9651927981139948,-1.2141069262175186,1.4741755724505161,-1.217836755607906,1.0301392728876984,-0.4859656898719377,0.304013321414812,-0.07826416905125254,0.16491532671521053,-0.004917818043037344,0.0778980864155454,-0.26311083604520036,0.3657266303438971,-0.5641881719093815,0.5685035544268116,-0.6530688667704423,0.5093955428154167,-0.449864961247398,0.21595851872468677,-0.14817715829784067,0.018701566561871087,-0.03291059317801088,24.1,67.7,1.09,-0.03915137614678899,-0.03915137614678899
4.0,-0.023601759140083806,0.24360337907622448,-0.40185439992318356,0.7916066245669818,-0.7642594281300948,0.5983093454913019,0.10991591754381294,-0.6347783629941777,1.0995159791955433,-0.8936698346303431,0.6864256213919008,-0.3152311605997047,0.25804190367751034,-0.010505645614639757,-0.046764927467609185,-0.05591854733888576,0.039891242638884696,-0.21771514065826095,0.2158731695119087,-0.34693841977787854,0.2253215078392953,-0.2227645438053912,0.04861249302081964,-0.0563099446381993,-0.02677044172537837,0.00027001747634181175,26.02081871,67.51849365,1.278600931,-0.04500667821752426,-0.04500667534507417
4.5,-0.017330491931992285,0.2841894361816428,-0.6927430612694064,1.7087439174414043,-2.7176088903625275,3.541944063612508,-3.2702931619412365,2.365126632706518,-1.0263342414707421,0.2677588400886489,0.14942704932124357,-0.10845747203442987,0.12114955987907686,-0.04099148796811157,-0.04292883256006413,-0.040250646181437436,-0.062231724138742874,-0.012982781277434834,-0.10457898618145989,0.011921245476188334,-0.09913762088624697,-0.006580176644907035,-0.06595475234505896,-0.019932574990089418,-0.03508680725812788,-0.004875542434162141,29.1906395,67.08448029,1.298363805,-0.04510440398670393,-0.04510440398670393
5.0,-0.004810999777451264,0.2320121511648046,-0.5238998022301744,1.3527136109508728,-2.260220777842706,3.2416624814042643,-3.4069337326007227,2.978721134320385,-1.8755073253672319,0.9936995403576351,-0.30389092218392916,0.10896139954826892,0.0020867938687510927,-0.044451213757037575,-0.03201727311459071,-0.07645980476762207,0.01604098883060769,-0.15181700667589218,0.08368612918602475,-0.19551752066954287,0.07917191809450815,-0.13062577267452452,-0.0005004198208610243,-0.04790107702966097,-0.02726617298717725,-0.0067912839732423,31.89557266,66.65046692,1.253372192,-0.042754594071954456,-0.042754594071954456
6.4,0.010575232057811253,0.16567953185387185,-0.2697147638412925,0.6951341534736017,-0.9680342780323159,1.318045018962169,-1.1811812834754338,1.0035502466830162,-0.5477755920370503,0.3589325818430278,-0.1193672927246354,0.1015468119296794,-0.03452784110880774,-0.007672983166839881,-0.17239376172117737,0.27755611344579784,-0.6998357279619579,0.965281674033025,-1.311156032880126,1.1655718222626539,-0.9669261164967302,0.47093490844284075,-0.2539780571460776,0.008855102904835916,-0.03214722497441244,-0.016144072983603434,39.0164299,65.32525635,1.123656273,-0.031688777493912114,-0.031688777493912114
