          42
           0           0
  0.0000000E+00  0.0000000E+00
   1.716384      0.0000000E+00
   3.432767     -3.7764981E-05
   5.149151     -0.1188988    
   6.865535     -0.2531705    
   8.581919     -0.3726360    
   10.29830     -0.4551066    
   12.01469     -0.6790830    
   13.73107     -0.9485177    
   15.44745      -1.187944    
   17.16384      -1.453707    
   18.88022      -1.605296    
   20.59660      -1.012304    
   22.31299       1.224921    
   24.02937       2.666278    
   25.74576       3.237511    
   27.46214       1.487877    
   29.17852     -0.5092515    
   30.89491      -1.250884    
   32.61129     -0.7183414    
   34.32767     -0.9100276    
   36.04406      -2.942459    
   37.76044      -5.511790    
   39.47683      -7.887742    
   41.19321      -9.441487    
   42.90959      -10.51429    
   44.62598      -12.29435    
   46.34236      -15.08547    
   48.05874      -18.12115    
   49.77513      -20.60494    
   51.49151      -22.60668    
   53.20789      -23.32470    
   54.92428      -25.23578    
   56.64066      -27.16124    
   58.35704      -32.37909    
   60.07343      -37.69698    
   61.78981      -43.79654    
   63.50620      -47.91323    
   65.22258      -47.91323    
   66.93896      -47.91323    
   80.32676      -47.91323    
