VARIABLES= x,y,z,cp
 zone  i=          58  j=          20
  0.0000000E+00  0.0000000E+00  -1.000000     -1.7124400E-02
   1.052630      0.0000000E+00 -0.8947400     -1.7135100E-02
   2.105260      0.0000000E+00 -0.7894700     -1.7139100E-02
   3.157890      0.0000000E+00 -0.6842100     -1.7145000E-02
   4.210530      0.0000000E+00 -0.5789500     -1.7145600E-02
   5.263160      0.0000000E+00 -0.4736800     -1.7130399E-02
   6.315790      0.0000000E+00 -0.3684200     -1.7125599E-02
   7.368420      0.0000000E+00 -0.2631600     -1.7124800E-02
   8.421050      0.0000000E+00 -0.1578900     -1.7137300E-02
   9.473680      0.0000000E+00 -5.2630000E-02 -1.7140299E-02
   10.52630      0.0000000E+00  5.2630000E-02 -1.7138900E-02
   11.57900      0.0000000E+00  0.1578900     -1.7138200E-02
   12.63160      0.0000000E+00  0.2631600     -1.7127000E-02
   13.68420      0.0000000E+00  0.3684200     -1.7132901E-02
   14.73680      0.0000000E+00  0.4736800     -1.7143400E-02
   15.78950      0.0000000E+00  0.5789500     -1.7159401E-02
   16.84210      0.0000000E+00  0.6842100     -1.6233601E-02
   17.89470      0.0000000E+00  0.7894700     -2.3866000E-02
   18.94740      0.0000000E+00  0.8947400     -3.8565699E-02
   20.00000      0.0000000E+00   1.000000      5.6863599E-02
   22.04210      0.0000000E+00   1.000000      0.3023890    
   24.08420      0.0000000E+00   1.000000      0.2814480    
   26.12630      0.0000000E+00   1.000000     -5.5624498E-03
   28.16840      0.0000000E+00   1.000000     -0.1874360    
   30.21050      0.0000000E+00   1.000000     -0.1009520    
   32.25260      0.0000000E+00   1.000000      0.1271250    
   34.29470      0.0000000E+00   1.000000      0.2363390    
   36.33680      0.0000000E+00   1.000000      8.8656098E-02
   38.37900      0.0000000E+00   1.000000     -0.1026250    
   40.42110      0.0000000E+00   1.000000     -0.1272420    
   42.46320      0.0000000E+00   1.000000      8.9266002E-03
   44.50530      0.0000000E+00   1.000000      0.1481040    
   46.54740      0.0000000E+00   1.000000      0.1216810    
   48.58950      0.0000000E+00   1.000000     -1.7436400E-02
   50.63160      0.0000000E+00   1.000000     -0.1001430    
   52.67370      0.0000000E+00   1.000000     -4.7668502E-02
   54.71580      0.0000000E+00   1.000000      6.9067702E-02
   56.75790      0.0000000E+00   1.000000      0.1044670    
   58.80000      0.0000000E+00   1.000000      2.3900900E-02
   59.49470      0.0000000E+00   1.000000     -9.3012098E-03
   60.18950      0.0000000E+00   1.000000      4.1431800E-02
   60.88420      0.0000000E+00   1.000000      0.1490350    
   61.57890      0.0000000E+00   1.000000      0.1134820    
   62.27370      0.0000000E+00   1.000000     -3.8862702E-02
   62.96840      0.0000000E+00   1.000000     -0.1130060    
   63.66320      0.0000000E+00   1.000000     -3.4863301E-02
   64.35790      0.0000000E+00   1.000000     -5.9731901E-02
   65.05260      0.0000000E+00   1.000000     -0.1979770    
   65.74740      0.0000000E+00   1.000000     -3.5206601E-02
   66.44210      0.0000000E+00   1.000000      0.1226270    
   67.13680      0.0000000E+00   1.000000      0.1668230    
   67.83160      0.0000000E+00   1.000000      6.4866501E-04
   68.52630      0.0000000E+00   1.000000     -0.2818980    
   69.22110      0.0000000E+00   1.000000     -8.9309499E-02
   69.91580      0.0000000E+00   1.000000      0.1216630    
   70.61050      0.0000000E+00   1.000000      -10.60740    
   71.30530      0.0000000E+00   1.000000       15.31150    
   72.00000      0.0000000E+00   1.000000       65.29100    
  0.0000000E+00  0.0000000E+00  -1.000000     -1.7124901E-02
   1.052630      3.7400001E-03 -0.8948800     -1.7136300E-02
   2.105260      7.4800001E-03 -0.7897500     -1.7139699E-02
   3.157890      1.1220000E-02 -0.6846300     -1.7145701E-02
   4.210530      1.4960000E-02 -0.5795000     -1.7144600E-02
   5.263160      1.8700000E-02 -0.4743800     -1.7133299E-02
   6.315790      2.2440000E-02 -0.3692500     -1.7128401E-02
   7.368420      2.6179999E-02 -0.2641300     -1.7128199E-02
   8.421050      2.9920001E-02 -0.1590000     -1.7138001E-02
   9.473680      3.3659998E-02 -5.3879999E-02 -1.7142100E-02
   10.52630      3.7400000E-02  5.1250000E-02 -1.7142400E-02
   11.57900      4.1140001E-02  0.1563700     -1.7137200E-02
   12.63160      4.4879999E-02  0.2615000     -1.7128900E-02
   13.68420      4.8610002E-02  0.3666200     -1.7136101E-02
   14.73680      5.2350000E-02  0.4717500     -1.7148999E-02
   15.78950      5.6090001E-02  0.5768700     -1.7159401E-02
   16.84210      5.9829999E-02  0.6819900     -1.6755100E-02
   17.89470      6.3570000E-02  0.7871200     -2.1160400E-02
   18.94740      6.7309998E-02  0.8922400     -2.2698401E-02
   20.00000      7.1050003E-02  0.9973700      6.2142901E-02
   22.04210      7.1050003E-02  0.9973700      0.2557010    
   24.08420      7.1050003E-02  0.9973700      0.2381910    
   26.12630      7.1050003E-02  0.9973700      9.7539797E-03
   28.16840      7.1050003E-02  0.9973700     -0.1416860    
   30.21050      7.1050003E-02  0.9973700     -7.5891599E-02
   32.25260      7.1050003E-02  0.9973700      0.1069780    
   34.29470      7.1050003E-02  0.9973700      0.1945970    
   36.33680      7.1050003E-02  0.9973700      7.9478301E-02
   38.37900      7.1050003E-02  0.9973700     -7.5493298E-02
   40.42110      7.1050003E-02  0.9973700     -9.9080697E-02
   42.46320      7.1050003E-02  0.9973700      9.4697000E-03
   44.50530      7.1050003E-02  0.9973700      0.1211160    
