         201
  0.0000000E+00  0.0000000E+00
  0.3410445      9.6877984E-04
  0.6820891      5.0877519E-03
   1.023134      1.2440208E-02
   1.364178      2.3026155E-02
   1.705223      3.6845591E-02
   2.046267      5.3891249E-02
   2.387312      7.4170157E-02
   2.728356      9.7682513E-02
   3.069401      0.1244284    
   3.410445      0.1544078    
   3.751490      0.1655558    
   4.092535      0.1783920    
   4.433579      0.1944617    
   4.774624      0.2137649    
   5.115668      0.2363015    
   5.456713      0.2593102    
   5.797757      0.2964103    
   6.138802      0.3144268    
   6.479846      0.3468353    
   6.820891      0.3824773    
   7.161935      0.4239097    
   7.502980      0.4689607    
   7.844025      0.5172451    
   8.185069      0.5687630    
   8.526114      0.6361841    
   8.867158      0.6876473    
   9.208202      0.7562166    
   9.549248      0.8280194    
   9.890292      0.9030555    
   10.23134      0.9813253    
   10.57238       1.040232    
   10.91343       1.096852    
   11.25447       1.156705    
   11.59551       1.219792    
   11.93656       1.286112    
   12.27760       1.348702    
   12.61865       1.412457    
   12.95969       1.479445    
   13.30074       1.597620    
   13.64178       1.623120    
   13.98283       1.704210    
   14.32387       1.824236    
   14.66492       1.879212    
   15.00596       1.971564    
   15.34700       2.067149    
   15.68805       2.162275    
   16.02909       2.259094    
   16.37014       2.359147    
   16.71118       2.462434    
   17.05223       2.669885    
   17.39327       2.693967    
   17.73432       2.829639    
   18.07536       3.088729    
   18.41640       3.110366    
   18.75745       3.243757    
   19.09850       3.462808    
   19.43954       3.726083    
   19.78058       3.980284    
   20.12163       4.225375    
   20.46267       4.461143    
   20.80372       4.886286    
   21.14476       5.418435    
   21.48581       5.864197    
   21.82685       6.314027    
   22.16790       6.753266    
   22.50894       7.106940    
   22.84999       7.393339    
   23.19103       7.679736    
   23.53207       8.110546    
   23.87312       8.252531    
   24.21416       8.445247    
   24.55521       8.558750    
   24.89625       8.672254    
   25.23730       8.785757    
   25.57834       8.899260    
   25.91939       8.777988    
   26.26043       8.430338    
   26.60147       8.082685    
   26.94252       7.735033    
   27.28356       7.506842    
   27.62461       7.016300    
   27.96565       6.619472    
   28.30670       6.222642    
   28.64774       5.825814    
   28.98879       5.471323    
   29.32983       5.142837    
   29.67088       4.995475    
   30.01192       4.848114    
   30.35296       4.700752    
   30.69401       4.553391    
   31.03505       4.510066    
   31.37610       4.615882    
   31.71714       4.721698    
   32.05819       4.827514    
   32.39923       4.933331    
   32.74028       5.067892    
   33.08132       4.946633    
   33.42237       4.908545    
   33.76341       4.870457    
   34.10445       4.832369    
   34.44550       4.667916    
   34.78654       4.264073    
   35.12759       3.860234    
   35.46863       3.456392    
   35.80968       3.052549    
   36.15072       2.615340    
   36.49177       2.163032    
   36.83281       1.594293    
   37.17385       1.083766    
   37.51490      0.5732388    
   37.85595      7.3473454E-02
   38.19699     -0.2950425    
   38.53803     -0.8707223    
   38.87908      -1.342822    
   39.22012      -1.814923    
   39.56117      -2.246622    
   39.90221      -2.555348    
   40.24326      -2.864078    
   40.58430      -3.172807    
   40.92535      -3.481537    
   41.26639      -3.769761    
   41.60743      -3.982924    
   41.94848      -4.174160    
   42.28952      -4.409256    
   42.63057      -4.622423    
   42.97161      -4.861142    
   43.31266      -5.214839    
   43.65370      -5.568535    
   43.99475      -5.922232    
   44.33579      -6.275929    
   44.67683      -6.659579    
   45.01788      -7.214175    
   45.35892      -7.768772    
   45.69997      -8.323368    
   46.04101      -8.877958    
   46.38206      -9.438210    
   46.72310      -10.04140    
   47.06415      -10.64459    
   47.40519      -11.11169    
   47.74623      -11.85097    
   48.08728      -12.44498    
   48.42833      -12.93851    
   48.76937      -13.43204    
   49.11041      -13.89986    
   49.45146      -14.41908    
   49.79250      -14.90773    
   50.13355      -15.30548    
   50.47459      -15.70323    
   50.81564      -16.10097    
   51.15668      -16.49872    
   51.49773      -16.89181    
   51.83877      -17.03448    
   52.17982      -17.17715    
   52.52086      -17.31982    
   52.86190      -17.46030    
   53.20295      -17.70601    
   53.54399      -18.23022    
   53.88504      -18.76980    
   54.22608      -19.32159    
   54.56713      -19.88546    
   54.90817      -20.46148    
   55.24922      -21.00459    
   55.59026      -21.65495    
   55.93130      -22.23360    
   56.27235      -22.88361    
   56.61340      -23.49146    
   56.95444      -24.69444    
   57.29548      -25.94297    
   57.63653      -27.15932    
   57.97757      -28.41973    
   58.31862      -29.62033    
   58.65966      -30.88705    
   59.00071      -32.12163    
   59.34175      -33.34944    
   59.68280      -34.57049    
   60.02384      -35.77329    
   60.36488      -37.12502    
   60.70593      -38.46281    
   61.04697      -39.83042    
   61.38802      -41.17297    
   61.72906      -42.50874    
   62.07011      -43.51395    
   62.41115      -44.44221    
   62.75220      -45.36370    
   63.09324      -46.27843    
   63.43428      -47.18639    
   63.77533      -47.44209    
   64.11637      -47.51854    
   64.45742      -47.58823    
   64.79846      -47.65116    
   65.13951      -47.70732    
   65.48055      -47.75672    
   65.82159      -47.79935    
   66.16264      -47.83522    
   66.50368      -47.86432    
   66.84473      -47.88666    
   67.18578      -47.90224    
   67.52682      -47.91105    
   67.86787      -47.91323    
   68.20892      -47.91323    
