TITLE     = "Plot3D DataSet"
VARIABLES = "X"
"Z"
DATASETAUXDATA Common.SpeedOfSound="1.0"
DATASETAUXDATA Common.VectorVarsAreVelocity="FALSE"
ZONE T="Slice: Y=8"
 STRANDID=4, SOLUTIONTIME=0
 I=33, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 6.985845184E+01 8.451040983E-01
 6.962219238E+01 8.533106446E-01
 6.928268433E+01 8.648256660E-01
 6.880488586E+01 8.804904222E-01
 6.815191650E+01 9.009181261E-01
 6.729441071E+01 9.260756373E-01
 6.622539520E+01 9.547371864E-01
 6.497585297E+01 9.840660691E-01
 6.362074280E+01 1.009706736E+00
 6.226549911E+01 1.026814818E+00
 6.101562881E+01 1.031933427E+00
 5.994625092E+01 1.024496436E+00
 5.908857727E+01 1.006542802E+00
 5.843579102E+01 9.811828732E-01
 5.795873260E+01 9.507137537E-01
 5.762101746E+01 9.144993424E-01
 5.740187836E+01 8.451040983E-01
 5.762101746E+01 7.757089138E-01
 5.795873260E+01 7.394944429E-01
 5.843579102E+01 7.090253234E-01
 5.908857727E+01 6.836654544E-01
 5.994625092E+01 6.657115817E-01
 6.101562881E+01 6.582747698E-01
 6.226549911E+01 6.633934379E-01
 6.362074280E+01 6.805014610E-01
 6.497585297E+01 7.061420679E-01
 6.622539520E+01 7.354709506E-01
 6.729441071E+01 7.641324997E-01
 6.815191650E+01 7.892900109E-01
 6.880488586E+01 8.097177744E-01
 6.928268433E+01 8.253824711E-01
 6.962219238E+01 8.368974924E-01
 6.985845184E+01 8.451040983E-01
