          42
           0           0
  0.0000000E+00  2.6314471E-02
   1.723281      0.2665635    
   3.446561      0.4262156    
   5.169842      0.5330521    
   6.893123      0.6339023    
   8.616404      0.7741551    
   10.33968      0.9538968    
   12.06296       1.183514    
   13.78625       1.453880    
   15.50953       1.742804    
   17.23281       2.094695    
   18.95609       2.469456    
   20.67937       2.848399    
   22.40265       3.291151    
   24.12593       3.751524    
   25.84921       4.389150    
   27.57249       5.057552    
   29.29577       5.818294    
   31.01905       6.745688    
   32.74233       7.812771    
   34.46561       9.062157    
   36.18889       10.28081    
   37.91217       11.86995    
   39.63546       13.41099    
   41.35873       15.21357    
   43.08202       17.15108    
   44.80530       19.37969    
   46.52858       21.73232    
   48.25186       24.40054    
   49.97514       27.61077    
   51.69842       31.00976    
   53.42170       35.01433    
   55.14498       39.55201    
   56.86826       44.40436    
   58.59154       50.14729    
   60.31482       56.15535    
   62.03811       60.85260    
   63.76138       64.73490    
   65.48466       66.47128    
   67.20795       66.66238    
   80.64954       66.66238    
