VARIABLES= x,y,z,cp
 zone  i=           8  j=          37
  1.1000000E-04  0.0000000E+00  3.1600001E-03  0.2315630    
  1.1000000E-04  0.0000000E+00  3.1600001E-03  0.2332520    
  1.1000000E-04  0.0000000E+00  3.1600001E-03  0.2360450    
  1.1000000E-04  0.0000000E+00  3.1600001E-03  0.2570820    
  1.1000000E-04  0.0000000E+00  3.1600001E-03  0.3018260    
  1.1000000E-04  0.0000000E+00  3.1600001E-03  0.3312240    
  1.1000000E-04  0.0000000E+00  3.1600001E-03  0.3526770    
  1.1000000E-04  0.0000000E+00  3.1600001E-03  0.3695420    
  0.5891100      0.0000000E+00  0.1232300      8.8450499E-02
  0.5424000      7.6499999E-02  0.1141400      0.1041070    
  0.4958800      0.1531400      0.1034400      0.1098230    
  0.4497100      0.2298500      9.0089999E-02  0.1298210    
  0.4037900      0.3062100      7.4259996E-02  0.1692420    
  0.3579700      0.3821900      5.7000000E-02  0.2197530    
  0.3125600      0.4581700      3.8199998E-02  0.2810170    
  0.2681100      0.5333800      1.5920000E-02  0.3382050    
   1.185850      0.0000000E+00  0.1955300     -1.3766100E-02
   1.134290      0.1098700      0.1885800      9.3111396E-03
   1.082960      0.2202800      0.1795600      8.0337096E-03
   1.031690      0.3309300      0.1675500      1.3244200E-02
  0.9801800      0.4417000      0.1527500      2.4687801E-02
  0.9285600      0.5545100      0.1312500      5.0685499E-02
  0.8791100      0.6661300      9.3290001E-02  9.1830298E-02
  0.8340700      0.7645500      4.1299999E-02  0.1136610    
   1.783430      0.0000000E+00  0.2614200     -1.3999200E-02
   1.731590      0.1295800      0.2533000     -5.9372401E-03
   1.680240      0.2600300      0.2413900     -6.2545501E-03
   1.629190      0.3905400      0.2256400     -4.1347598E-03
   1.578300      0.5217100      0.2063200     -3.4253900E-03
   1.527870      0.6532100      0.1808900     -1.7290300E-04
   1.476870      0.7894100      0.1390500      1.6500900E-02
   1.432950      0.8998800      6.7690000E-02  1.8936099E-02
   2.381240      0.0000000E+00  0.3251900      1.5866900E-03
   2.330080      0.1453000      0.3169100      1.9943300E-03
   2.279530      0.2918000      0.3035300      3.0115000E-03
   2.229280      0.4385900      0.2851700      6.0335700E-03
   2.179210      0.5870900      0.2596200      8.6159902E-03
   2.130000      0.7343100      0.2229100      7.1371398E-03
   2.081200      0.8817700      0.1774900      3.3362100E-03
   2.037610       1.007140      9.4209999E-02 -6.9690300E-03
   2.979250      0.0000000E+00  0.3870500      9.5683802E-03
   2.929100      0.1587800      0.3783200      7.9616802E-03
   2.879730      0.3190500      0.3630500      7.3639099E-03
   2.830750      0.4799500      0.3415400      7.0475200E-03
   2.782220      0.6425700      0.3098900      8.6540496E-03
   2.734250      0.8039500      0.2651900      9.9468101E-03
   2.687780      0.9586700      0.2117400      2.2163100E-03
   2.644900       1.098480      0.1207700     -1.3155900E-02
   3.577420      0.0000000E+00  0.4473500      9.4742496E-03
   3.528530      0.1707100      0.4382800      8.9628603E-03
   3.480560      0.3431900      0.4213200      9.8754596E-03
   3.433040      0.5168500      0.3965600      1.0183100E-02
   3.386120      0.6919200      0.3584100      1.0352900E-02
   3.340010      0.8641800      0.3058400      1.0557900E-02
   3.295260       1.028500      0.2433700      6.3215400E-04
   3.253730       1.178900      0.1473500     -1.8270900E-02
   4.175750      0.0000000E+00  0.5060600      3.1236201E-03
   4.128260      0.1815600      0.4966500      4.8895101E-03
   4.081830      0.3651200      0.4780700      5.5900598E-03
   4.035940      0.5505400      0.4499100      7.5677801E-03
   3.990740      0.7366200      0.4058000      9.7071202E-03
   3.946400      0.9187300      0.3452900      1.1213400E-02
