0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.010637354,0.067642213,-0.005573705,0.108044676,0.015217646,0.028931895,0.09667458,-0.01596718,0.156374634,-0.009661863,-0.018985928,-0.078718971,0.099043567,-0.30411147,0.290061195,-0.435564971,0.19090133,-0.485238933,0,72,0,0.014583333,0.014583333
2,0.007598998,0.047371584,0.045424667,0.062979976,0.006108062,0.057998396,0.061440363,0.055832317,0.066181823,-0.007151859,-0.043299034,-0.045393451,-0.049205112,-0.065006343,-0.02848773,-0.117236474,-0.100202842,-0.111297061,20,67,0.574489474,0.008574828,0.008574828
4,0.006459856,0.029186737,0.05249245,-0.000853343,0.080822581,-0.002444904,0.077619513,0.07231482,0.069482554,-0.00885578,-0.047046027,-0.06931663,-0.003791152,-0.102066318,0.011346971,-0.085957273,-0.02777851,-0.053358098,33.74,67.83333333,1.163472772,-0.000742686,-0.000742686
6,0.018687912,0.060475964,0.018124732,0.054429749,0.051071274,0.001203164,0.093950752,0.032153178,0.044965308,-0.010344496,-0.04957759,-0.001019941,-0.07802906,0.028154094,-0.077025352,-0.003385057,0.00587794,0.003030706,42.03,68.666665,1.325182885,-0.000380952,-0.000380952
8,0.018687912,0.060475964,0.018124732,0.054429749,0.051071274,0.001203164,0.093950752,0.032153178,0.044965308,-0.010344496,-0.04957759,-0.001019941,-0.07802906,0.028154094,-0.077025352,-0.003385057,0.00587794,0.003030706,49,69.5,1.325182885,-0.000380952,-0.000380952
10,0.030710265,0.045195749,0.037003201,0.021429838,0.085859354,-0.025934221,0.095459774,0.037719707,0.032737025,-0.009333705,-0.087940926,0.068444907,-0.194183207,0.154949768,-0.202095318,0.084978453,-0.036859416,0.010539573,55.2,70.33333333,1.292257068,0,0
12,0.034448346,0.039605168,0.041201151,0.017905005,0.090726539,-0.02451609,0.087648331,0.046955775,0.025422455,-0.015852925,-0.085983136,0.05854536,-0.182791937,0.123674127,-0.178239387,0.062601331,-0.058772523,0.001855472,60.8,71.16666667,1.269341664,0.000126984,0.000126984
14,0.029902155,0.043704221,0.030718581,0.04385525,0.06567283,0.005457558,0.070516423,0.059861381,0.023021597,-0.029902155,-0.043704221,-0.030718581,-0.04385525,-0.06567283,-0.005457558,-0.070516423,-0.059861381,-0.023021597,66,72,1.363449271,0,0
